"Molecule.ChEMBL.ID","Smiles","pChEMBL.Value","Activity","Label","Estate_1","Estate_2","Estate_3","Estate_4","Estate_5","Estate_6","Estate_7","Estate_8","Estate_9","Estate_10","Estate_11","Estate_12","Estate_13","Estate_14","Estate_15","Estate_16","Estate_17","Estate_18","Estate_19","Estate_20","Estate_21","Estate_22","Estate_23","Estate_24","Estate_25","Estate_26","Estate_27","Estate_28","Estate_29","Estate_30","Estate_31","Estate_32","Estate_33","Estate_34","Estate_35","Estate_36","Estate_37","Estate_38","Estate_39","Estate_40","Estate_41","Estate_42","Estate_43","Estate_44","Estate_45","Estate_46","Estate_47","Estate_48","Estate_49","Estate_50","Estate_51","Estate_52","Estate_53","Estate_54","Estate_55","Estate_56","Estate_57","Estate_58","Estate_59","Estate_60","Estate_61","Estate_62","Estate_63","Estate_64","Estate_65","Estate_66","Estate_67","Estate_68","Estate_69","Estate_70","Estate_71","Estate_72","Estate_73","Estate_74","Estate_75","Estate_76","Estate_77","Estate_78","Estate_79"
"CHEMBL1205058","O=C(O)c1ccc2c(c1)[nH]c(=O)c1ccccc12",7.16,"Active","Training",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHEMBL3696942","O=C(O)c1ccc2c(c1)nc(OCCCO)c1ccccc12",6.4,"Active","Training",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHEMBL3649717","CN1CCC(Oc2ccc3[nH]c(=O)c4c(c3c2)NCCC4)CC1",5.97,"Inactive","Training",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHEMBL3649720","O=C(NCCN1CCCCC1)c1ccc2[nH]c(=O)c3cccnc3c2c1",5.98,"Inactive","Training",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHEMBL3394705","COc1cc2c(cc1OC)C1(O)c3ccccc3C(=O)N1CC2",6.06,"Active","Training",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHEMBL3653091","COCCOc1cc(CN(C)C)cc2[nH]c(=O)c3c(c12)NCCC3",6.75,"Active","Training",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHEMBL3967582","O=C(CCC1CCCCC1)Nc1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F",7.85,"Active","Training",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHEMBL3970517","Cc1ccc(NC(=O)c2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)cc1O",6.84,"Active","Training",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHEMBL3937652","Cn1cnc(C(=O)N2CCCN(C(=O)c3cc(Cc4n[nH]c(=O)c5c4CCCC5)ccc3F)CC2)c1",8.74,"Active","Training",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHEMBL3649769","O=c1[nH]c2cc(Cn3cccc3)ccc2c2c1CCCN2",5.81,"Inactive","Training",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
